Sl No,Name of the Judge,Date of Appointment,Date of Retirement,Remarks,Parent High Court
1,DR. DHANANJAYA Y. CHANDRACHUD,13/05/2016,10/11/2024,CJI w.e.f. 09.11.2022,BOMBAY
2,SANJI V KHANNA,18/01/2019,13/05/2025,,DELHI
3,BHUSHAN RAMKRISHNA GAVAI,24/05/2019,23/11/2025,,BOMBAY
4,SURYA KANT,24/05/2019,09/02/2027,,PUNJAB & HARYANA
5,HRISHIKESH ROY,23/09/2019,31/01/2025,,GAUHATI
6,ABHAY SHREENIWAS OKA,31/08/2021,24/05/2025,,BOMBAY
7,VIKRAM NATH,31/08/2021,23/09/2027,,ALLAHABAD
8,JITENDRA KUMAR MAHESHWARI,31/08/2021,28/06/2026,,MADHYA PRADESH
9,KUMARI HIMA KOHLI,31/08/2021,01/09/2024,,DELHI
10,SMT. B.V. NAGARATHNA,31/08/2021,29/10/2027,,KARNATAKA
11,C.T. RAVI KUMAR,31/08/2021,05/01/2025,,KERALA
12,M.M. SUNDRESH,31/08/2021,20/07/2027,,MADRAS
13,MS. BELA M. TRIVEDI,31/08/2021,09/06/2025,,GUJARAT
14,P.S. NARASIMHA,31/08/2021,02/05/2028,,BAR
15,SUDHANSHU DHULIA,09/05/2022,09/08/2025,,UTTARAKHAND
16,JAMSHED BURJOR PARDIWALA,09/05/2022,11/08/2030,,GUJARAT
17,DIPANKAR DATTA,12/12/2022,08/02/2030,,CALCUTTA
18,PANKAJ MITHAL,06/02/2023,16/06/2026,,ALLAHABAD
19,SANJAY KAROL,06/02/2023,22/08/2026,,HIMACHAL PRADESH
20,P.V. SANJAY KUMAR,06/02/2023,13/08/2028,,TELANGANA
21,AHSANUDDIN AMANULLAH,06/02/2023,10/05/2028,,PATNA
22,MANOJ MISRA,06/02/2023,01/06/2030,,ALLAHABAD
23,RAJESH BINDAL,13/02/2023,15/04/2026,,PUNJAB & HARYANA
24,ARAVIND KUMAR,13/02/2023,13/07/2027,,KARNATAKA
25,PRASHANT KUMAR MISHRA,19/05/2023,28/08/2029,,CHHATTISGARH
26,K.V. VISWANATHAN,19/05/2023,25/05/2031,,BAR
27,UJJAL BHUYAN,14/07/2023,01/08/2029,,GAUHATI
28,SARASA VENKATANARYANA BHATTI,14/07/2023,05/05/2027,,ANDHRA PRADESH
29,SATISH CHANDRA SHARMA,09/11/2023,29/11/2026,,MADHYA PRADESH
30,AUGUSTINE GEORGE MASIH,09/11/2023,11/03/2028,,PUNJAB & HARYANA
31,SANDEEP MEHTA,09/11/2023,10/01/2028,,RAJASTHAN
32,PRASANNA BHALACHANDRA VARALE,25/01/2024,22/06/2027,,BOMBAY
33,NONGMEIKAPAM KOTISWAR SINGH,18/07/2024,28/02/2028,,MANIPUR
34,R. MAHADEVAN,18/07/2024,06/06/2028,,MADRAS
